line	FT	PH	GY	seqname
MG118	62.1826598475183	271.29106006708	214.143411845363	MG118-x-MG1522
MG1175	64.4109586627208	261.557882068261	238.051249555553	MG1175-x-MG1522
MG1054	61.7051672442606	268.859991820348	210.376083819953	MG1054-x-MG1522
MG1204	62.1826598475183	260.195415248664	228.798585050592	MG1204-x-MG1522
MG1499	62.0234956464324	258.467842941463	215.305672619159	MG1499-x-MG1522
MG816	61.8643314453465	271.219819971938	235.088152548334	MG816-x-MG1522
MG210	62.9784808529478	271.389015197901	216.454574073717	MG210-x-MG1522
MG1046	60.5910178366594	271.923315911468	240.439895835494	MG1046-x-MG1522
MG417	61.3868388420888	256.562170396406	210.258521810649	MG417-x-MG1522
MG805	64.5701228638067	286.082284821003	240.172709450713	MG805-x-MG1522
MG1159	63.4559734562054	276.340201810292	251.349115926097	MG1159-x-MG1522
MG396	62.5009882496901	254.540732696743	213.983100014494	MG396-x-MG1522
MG776	62.0234956464324	252.45695991383	210.83030067408	MG776-x-MG1522
MG1137	62.0234956464324	268.628461511136	245.895173846757	MG1137-x-MG1522
MG696	63.2968092551195	277.506758368247	240.004382028302	MG696-x-MG1522
MG927	60.1135252334017	226.926290817202	190.45733883454	MG927-x-MG1522
MG954	62.8193166518619	272.82272211264	235.267167426137	MG954-x-MG1522
MG81	63.7743018583772	270.979384650832	216.366402566739	MG81-x-MG1522
MG1005	62.3418240486042	255.368898802772	220.502447803147	MG1005-x-MG1522
MG333	60.5910178366594	261.477736961226	219.513858179458	MG333-x-MG1522
MG1495	63.2968092551195	267.479714976966	236.839113994384	MG1495-x-MG1522
MG343	60.7501820377453	276.678592262218	241.80722215961	MG343-x-MG1522
MG358	60.7501820377453	267.328329774789	232.084977583397	MG358-x-MG1522
MG542	62.1826598475183	243.427277854541	212.775417555285	MG542-x-MG1522
MG854	NA	NA	NA	MG854-x-MG1522
MG635	63.1376450540336	268.726416641957	252.965593554021	MG635-x-MG1522
MG105	61.8643314453465	265.805572741122	222.649735711049	MG105-x-MG1522
MG1227	62.0234956464324	273.668698242455	223.454857354975	MG1227-x-MG1522
MG1178	64.8884512659784	275.611911791215	228.13061908864	MG1178-x-MG1522
MG553	60.4318536355735	258.672658214997	216.320980881327	MG553-x-MG1522
MG1065	63.7743018583772	228.564813005476	206.250726038936	MG1065-x-MG1522
MG385	60.9093462388312	267.533145048323	232.627365944502	MG385-x-MG1522
MG719	61.5460030431747	270.997194674618	226.006487329633	MG719-x-MG1522
MG311	61.3868388420888	268.334596118674	219.847841160434	MG311-x-MG1522
MG989	63.1376450540336	254.594162768099	227.187451150364	MG989-x-MG1522
MG434	60.5910178366594	244.202013889214	214.009818652972	MG434-x-MG1522
MG372	61.8643314453465	260.75643099791	218.565346513486	MG372-x-MG1522
MG1052	61.3868388420888	258.040402370609	216.932837702475	MG1052-x-MG1522
